date,hour,price_eur_mwh
2024-10-22,23,95.78
2024-10-22,24,88.35
2024-10-23,1,75.56
2024-10-23,2,79.25
2024-10-23,3,71.0
2024-10-23,4,64.32
2024-10-23,5,64.29
2024-10-23,6,65.0
2024-10-23,7,84.98
2024-10-23,8,102.1
2024-10-23,9,134.71
2024-10-23,10,110.06
2024-10-23,11,85.0
2024-10-23,12,65.0
2024-10-23,13,64.08
2024-10-23,14,56.58
2024-10-23,15,56.08
2024-10-23,16,59.99
2024-10-23,17,63.83
2024-10-23,18,71.99
2024-10-23,19,103.41
2024-10-23,20,155.8
2024-10-23,21,145.97
2024-10-23,22,121.89
2024-10-23,23,99.87
2024-10-23,24,93.16
2024-10-24,1,74.9
2024-10-24,2,65.15
2024-10-24,3,62.08
2024-10-24,4,62.08
2024-10-24,5,62.29
2024-10-24,6,66.3
2024-10-24,7,71.76
2024-10-24,8,90.01
2024-10-24,9,120.01
2024-10-24,10,98.15
2024-10-24,11,69.17
2024-10-24,12,60.0
2024-10-24,13,50.24
2024-10-24,14,43.54
2024-10-24,15,30.01
2024-10-24,16,24.55
2024-10-24,17,47.44
2024-10-24,18,60.4
2024-10-24,19,79.36
2024-10-24,20,110.16
2024-10-24,21,101.35
2024-10-24,22,92.98
2024-10-24,23,75.72
2024-10-24,24,67.0
2024-10-25,1,57.0
2024-10-25,2,55.83
2024-10-25,3,43.5
2024-10-25,4,44.0
2024-10-25,5,49.0
2024-10-25,6,41.0
2024-10-25,7,56.5
2024-10-25,8,70.1
2024-10-25,9,90.3
2024-10-25,10,79.64
2024-10-25,11,70.0
2024-10-25,12,60.0
2024-10-25,13,55.83
2024-10-25,14,54.0
2024-10-25,15,50.0
2024-10-25,16,42.0
2024-10-25,17,40.0
2024-10-25,18,53.9
2024-10-25,19,70.57
2024-10-25,20,102.17
2024-10-25,21,103.06
2024-10-25,22,90.5
2024-10-25,23,79.03
2024-10-25,24,74.0
2024-10-26,1,67.82
2024-10-26,2,56.29
2024-10-26,3,50.0
2024-10-26,4,42.76
2024-10-26,5,42.9
2024-10-26,6,41.94
2024-10-26,7,50.1
2024-10-26,8,56.5
2024-10-26,9,57.82
2024-10-26,10,65.56
2024-10-26,11,56.08
2024-10-26,12,48.43
2024-10-26,13,44.15
2024-10-26,14,25.1
2024-10-26,15,16.41
2024-10-26,16,5.01
2024-10-26,17,5.01
2024-10-26,18,40.0
2024-10-26,19,57.4
2024-10-26,20,90.98
2024-10-26,21,83.3
2024-10-26,22,66.25
2024-10-26,23,68.22
2024-10-26,24,75.0
2024-10-28,1,60.61
2024-10-28,2,50.31
2024-10-28,3,49.0
2024-10-28,4,43.1
2024-10-28,5,43.92
2024-10-28,6,49.2
2024-10-28,7,65.78
2024-10-28,8,86.74
2024-10-28,9,92.6
2024-10-28,10,68.39
2024-10-28,11,60.61
2024-10-28,12,51.99
2024-10-28,13,50.24
2024-10-28,14,51.97
2024-10-28,15,51.97
2024-10-28,16,52.51
2024-10-28,17,84.89
2024-10-28,18,115.57
2024-10-28,19,149.48
2024-10-28,20,133.66
2024-10-28,21,115.73
2024-10-28,22,110.49
2024-10-28,23,98.61
2024-10-28,24,81.25
2024-10-29,1,70.0
2024-10-29,2,65.14
2024-10-29,3,56.21
2024-10-29,4,49.28
2024-10-29,5,49.04
2024-10-29,6,58.4
2024-10-29,7,70.84
2024-10-29,8,83.09
2024-10-29,9,91.36
2024-10-29,10,72.4
2024-10-29,11,73.61
2024-10-29,12,71.1
2024-10-29,13,71.1
2024-10-29,14,71.0
2024-10-29,15,70.84
2024-10-29,16,71.1
2024-10-29,17,73.61
2024-10-29,18,74.7
2024-10-29,19,85.0
2024-10-29,20,93.34
2024-10-29,21,98.61
2024-10-29,22,90.0
2024-10-29,23,83.22
2024-10-29,24,68.7
2024-10-30,1,66.0
2024-10-30,2,55.0
2024-10-30,3,52.99
2024-10-30,4,44.6
2024-10-30,5,47.95
2024-10-30,6,52.5
2024-10-30,7,68.68
2024-10-30,8,76.04
2024-10-30,9,90.25
2024-10-30,10,85.0
2024-10-30,11,69.7
2024-10-30,12,69.57
2024-10-30,13,73.05
2024-10-30,14,73.52
2024-10-30,15,69.57
2024-10-30,16,72.65
2024-10-30,17,86.81
2024-10-30,18,102.3
2024-10-30,19,145.0
2024-10-30,20,143.36
2024-10-30,21,143.36
2024-10-30,22,132.33
2024-10-30,23,99.8
2024-10-30,24,91.71
2024-10-31,1,80.0
2024-10-31,2,76.79
2024-10-31,3,75.0
2024-10-31,4,72.59
2024-10-31,5,70.99
2024-10-31,6,77.0
2024-10-31,7,88.39
2024-10-31,8,107.36
2024-10-31,9,121.58
2024-10-31,10,102.8
2024-10-31,11,93.2
2024-10-31,12,85.04
2024-10-31,13,88.91
2024-10-31,14,85.31
2024-10-31,15,85.51
2024-10-31,16,95.5
2024-10-31,17,113.0
2024-10-31,18,130.0
2024-10-31,19,134.14
2024-10-31,20,135.01
2024-10-31,21,148.72
2024-10-31,22,134.34
2024-10-31,23,115.2
2024-10-31,24,102.0
2024-11-01,1,86.48
2024-11-01,2,81.71
2024-11-01,3,75.0
2024-11-01,4,70.7
2024-11-01,5,70.68
2024-11-01,6,71.66
2024-11-01,7,73.84
2024-11-01,8,78.0
2024-11-01,9,73.09
2024-11-01,10,70.0
2024-11-01,11,66.71
2024-11-01,12,47.8
2024-11-01,13,49.99
2024-11-01,14,50.24
2024-11-01,15,60.0
2024-11-01,16,70.43
2024-11-01,17,83.76
2024-11-01,18,105.48
2024-11-01,19,125.88
2024-11-01,20,120.01
2024-11-01,21,119.7
2024-11-01,22,110.75
2024-11-01,23,101.09
2024-11-01,24,95.65
2024-11-02,1,96.28
2024-11-02,2,91.56
2024-11-02,3,88.93
2024-11-02,4,86.0
2024-11-02,5,86.85
2024-11-02,6,85.62
2024-11-02,7,93.14
2024-11-02,8,100.11
2024-11-02,9,101.16
2024-11-02,10,88.93
2024-11-02,11,77.89
2024-11-02,12,71.77
2024-11-02,13,74.63
2024-11-02,14,69.84
2024-11-02,15,72.34
2024-11-02,16,70.63
2024-11-02,17,85.0
2024-11-02,18,105.82
2024-11-02,19,114.64
2024-11-02,20,114.64
2024-11-02,21,112.46
2024-11-02,22,111.54
2024-11-02,23,106.28
2024-11-02,24,100.61
